用户ID,用户类型,活跃度,消费金额,留存率,最后登录天数,注册天数
U0001,核心用户,73.8,750,0.728,24,160
U0002,核心用户,75.6,1931,0.773,21,190
U0003,核心用户,64.5,984,0.832,80,300
U0004,核心用户,77.7,1681,0.777,3,336
U0005,核心用户,85.5,1912,0.834,2,121
U0006,核心用户,80.8,656,0.927,36,79
U0007,核心用户,87.6,1222,0.783,72,244
U0008,核心用户,83.9,1965,0.868,24,246
U0009,核心用户,71.4,1710,0.748,35,318
U0010,核心用户,89.6,1923,0.925,12,62
U0011,核心用户,66.1,1535,0.856,47,160
U0012,核心用户,94.0,1340,0.909,15,71
U0013,核心用户,81.7,1207,0.802,15,200
U0014,核心用户,77.2,1995,0.961,42,74
U0015,核心用户,76.9,780,0.787,89,260
U0017,核心用户,76.6,912,0.757,52,142
U0018,核心用户,64.3,922,0.825,56,110
U0019,核心用户,76.3,567,0.858,53,201
U0020,核心用户,86.5,1291,0.801,17,284
U0021,核心用户,91.9,1097,0.882,59,355
U0022,核心用户,89.3,1733,0.844,19,177
U0023,核心用户,88.8,1034,0.915,89,180
U0024,核心用户,79.1,1512,0.919,60,31
U0025,核心用户,95.2,1849,0.795,80,160
U0026,核心用户,86.1,1149,0.883,89,128
U0027,核心用户,89.4,1174,0.812,48,164
U0028,核心用户,86.1,994,1.000,22,267
U0029,核心用户,84.7,1880,0.874,64,346
U0030,核心用户,75.8,1357,0.779,6,128
U0031,核心用户,88.1,1346,0.796,33,285
U0032,核心用户,79.1,1114,0.916,46,309
U0033,核心用户,69.5,951,0.818,9,328
U0034,核心用户,85.5,1296,0.679,24,42
U0035,核心用户,69.3,1824,0.629,63,80
U0036,核心用户,91.6,1348,0.627,52,199
U0037,核心用户,86.1,1267,0.920,68,291
U0038,核心用户,64.9,1404,0.913,13,153
U0039,核心用户,87.3,1126,0.849,62,308
U0040,核心用户,77.8,1455,0.706,89,266
U0041,核心用户,87.6,1181,0.825,57,314
U0042,核心用户,69.4,557,0.818,48,68
U0044,核心用户,96.0,1348,0.875,80,276
U0045,核心用户,95.3,1748,0.818,61,208
U0046,核心用户,91.5,1464,0.805,29,41
U0047,核心用户,70.1,989,0.880,75,246
U0048,核心用户,88.3,951,0.866,49,128
U0049,核心用户,86.7,982,0.922,13,308
U0051,核心用户,70.4,1984,0.802,16,98
U0052,核心用户,60.5,1051,0.937,57,68
U0053,核心用户,68.8,1324,0.795,18,268
U0054,核心用户,77.6,1601,0.733,13,197
U0055,核心用户,74.6,666,0.779,71,246
U0056,核心用户,82.4,1017,0.888,39,120
U0057,核心用户,72.6,787,0.881,72,346
U0058,核心用户,92.9,1561,0.838,25,341
U0059,核心用户,90.0,1953,0.826,85,232
